source;relationship;destination
human_dignity;means;intrinsic_worth
intrinsic_worth;should_never_be_diminished_by;ai
data_preprocessing;is_subclass_of;data_science_task
supervised_learning;is_subclass_of;data_science_task
unsupervised_learning;is_subclass_of;data_science_task
regression;is_subclass_of;supervised_learning
binary_classification;is_subclass_of;classification
classification;is_subclass_of;supervised_learning
classification;should_ensure;fairness
data_collection;is_subclass_of;data_science_task
data_collection;implements;data_privacy
data_cleaning;is_subclass_of;data_preprocessing
data_augmentation;is_subclass_of;data_preprocessing
data_integration;is_subclass_of;data_preprocessing
data_visualization;is_subclass_of;data_science_task
natural_language_processing;is_subclass_of;data_science_task
video_analysis;is_subclass_of;data_science_task
anomaly_detection;is_subclass_of;data_science_task
anomaly_detection;is_kind_of;error_monitoring
network_intrusion_detection;is_subclass_of;anomaly_detection
model_selection;is_subclass_of;data_science_task
traintestsplit;is_subclass_of;model_selection
traintestsplit;might_introduce;bias
kfold;is_subclass_of;model_selection
kfold;might_introduce;bias
stratifiedkfold;is_subclass_of;model_selection
minmaxscaler;is_subclass_of;data_preprocessing
standardscaler;is_subclass_of;data_preprocessing
svm;is_subclass_of;classification
bias;is_subclass_of;thing
bias;is;risk
bias;is_threat_to;fairness
bias;isassociatedto;application
bias;isalignedwith;harm
bias;hasbiasmeasure;biasmeasure
equality;is_subclass_of;fairness
equality;is;human_right
equality;is_dimension_of;fairness
fairness;is;requirement
fairness;is;ethical_imperative
fairness;has;substantive_dimension
fairness;has;procedural_dimension
equity;is_subclass_of;fairness
equity;is_dimension_of;fairness
algorithmic_bias;is_subclass_of;bias
first_name;attributes_to;person
first_name;is_attribute_of;person
person;is_subclass_of;thing
person;is;entity
person;has_biological_sex;biological_sex
person;is_of_the_racial_background;race
person;self_identifies_gender_as;gender_self-identification
person;has_ethnic_identification;ethnic_identification
person;has_skin_color;skin_color
middle_name;attributes_to;person
middle_name;is_attribute_of;person
last_name;attributes_to;person
last_name;is_attribute_of;person
date_of_birth;attributes_to;person
date_of_birth;is_attribute_of;person
gender;attributes_to;person
gender;may_be_inferred_from;data
gender;can_be;subject_to_bias
gender;is_attribute_of;person
ethnicity;attributes_to;person
ethnicity;can_be;subject_to_bias
ethnicity;is_attribute_of;person
disability_status;attributes_to;person
disability_status;is_attribute_of;person
marital_status;attributes_to;person
marital_status;is_attribute_of;person
socioeconomic_status;attributes_to;person
socioeconomic_status;can_be;subject_to_bias
socioeconomic_status;is_attribute_of;person
tabular_data;is_subclass_of;data
data;is_subclass_of;informationentity
data;gathered;socially_constructed_biases
data;gathered;socially_errors
demographic_parity;is_subclass_of;equality
demographic_parity;contributes_to;equality
equal_accuracy;is_subclass_of;equality
equal_accuracy;contributes_to;equality
group_unaware;is_subclass_of;equality
group_unaware;contributes_to;equality
explainability;is;requirement
explainability;is_dimension_of;transparency
explainability;can_affect;accuracy
explainability;helps;technical_robustness
explanation_robustness;is_subclass_of;explainability
quantus_consistency;is;metric
quantus_consistency;implements;explanation_consistency
quantus_consistency;applies_to;tabular_data
metric;is_subclass_of;thing
explanation_consistency;is;measure
explanation_consistency;contributes_to;explanation_robustness
